State/Province,County/Parish,DI Basin,DI Play,DI Subplay,Grantor,Grantee Alias,Vol/Page,Record Number,Instrument Type,Instrument Date,Record Date,Effective Date,Term (Months),Expiration of Primary Term,Options/Extensions,Ext. Bonus,Ext. Term (Months),Bonus,Royalty,Area (Acres),Abstract,Section,Township,Township Direction,Range,Range Direction,Block,BLM,State Lease,Grantee,Grantor Address,Grantee Address,Majority Legal Assignee,Majority Assignment Effective Date,Majority Legal Assignee Interest,Majority Assignment Vol/Page,Max Depth,Min Depth,Latitude (WGS84),Longitude (WGS84)
MS,AMITE (MS),GULF COAST EAST,TUSCALOOSA MARINE SHALE,,BUREAU OF LAND MANAGEMENT ET AL ,R&R ROYALTY,00299/0407,202000868,Memo of lease,2020-03-09,2020-03-31,2020-02-01,120,2030-02-01,0,,0.00000000,,,803.15997314,,1.00,4.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ," , ,    ","500 N SHORELINE BLVD STE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.34172063,-90.96488519
MS,AMITE (MS),GULF COAST EAST,TUSCALOOSA MARINE SHALE,,BUREAU OF LAND MANAGEMENT ET AL ,R&R ROYALTY,00299/0407,202000868,Memo of lease,2020-03-09,2020-03-31,2020-02-01,120,2030-02-01,0,,0.00000000,,,803.15997314,,16.00,4.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ," , ,    ","500 N SHORELINE BLVD STE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.31199693,-90.96497690
MS,AMITE (MS),GULF COAST EAST,TUSCALOOSA MARINE SHALE,,BUREAU OF LAND MANAGEMENT ET AL ,R&R ROYALTY,00299/0407,202000868,Memo of lease,2020-03-09,2020-03-31,2020-02-01,120,2030-02-01,0,,0.00000000,,,803.15997314,,1.00,4.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ," , ,    ","500 N SHORELINE BLVD STE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.34172063,-90.96488519
MS,AMITE (MS),GULF COAST EAST,TUSCALOOSA MARINE SHALE,,BUREAU OF LAND MANAGEMENT ET AL ,R&R ROYALTY,00299/0407,202000868,Memo of lease,2020-03-09,2020-03-31,2020-02-01,120,2030-02-01,0,,0.00000000,,,803.15997314,,16.00,4.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ," , ,    ","500 N SHORELINE BLVD STE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.31199693,-90.96497690
MS,AMITE (MS),GULF COAST EAST,TUSCALOOSA MARINE SHALE,,BUREAU OF LAND MANAGEMENT ET AL ,R&R ROYALTY,00299/0407,202000868,Memo of lease,2020-03-09,2020-03-31,2020-02-01,120,2030-02-01,0,,0.00000000,,,803.15997314,,16.00,4.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ," , ,    ","500 N SHORELINE BLVD STE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.31199693,-90.96497690
MS,AMITE (MS),GULF COAST EAST,TUSCALOOSA MARINE SHALE,,BUREAU OF LAND MANAGEMENT ET AL ,R&R ROYALTY,00299/0407,202000868,Memo of lease,2020-03-09,2020-03-31,2020-02-01,120,2030-02-01,0,,0.00000000,,,803.15997314,,1.00,4.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ," , ,    ","500 N SHORELINE BLVD STE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.34172063,-90.96488519
MS,AMITE (MS),GULF COAST EAST,TUSCALOOSA MARINE SHALE,,BUREAU OF LAND MANAGEMENT ET AL ,R&R ROYALTY,00299/0407,202000868,Memo of lease,2020-03-09,2020-03-31,2020-02-01,120,2030-02-01,0,,0.00000000,,,803.15997314,,1.00,4.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ," , ,    ","500 N SHORELINE BLVD STE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.34172063,-90.96488519
MS,AMITE (MS),GULF COAST EAST,TUSCALOOSA MARINE SHALE,,BUREAU OF LAND MANAGEMENT ET AL ,R&R ROYALTY,00299/0407,202000868,Memo of lease,2020-03-09,2020-03-31,2020-02-01,120,2030-02-01,0,,0.00000000,,,803.15997314,,16.00,4.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ," , ,    ","500 N SHORELINE BLVD STE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.31199693,-90.96497690
MS,AMITE (MS),GULF COAST EAST,TUSCALOOSA MARINE SHALE,,BUREAU OF LAND MANAGEMENT ET AL ,R&R ROYALTY,00299/0407,202000868,Memo of lease,2020-03-09,2020-03-31,2020-02-01,120,2030-02-01,0,,0.00000000,,,803.15997314,,16.00,4.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ," , ,    ","500 N SHORELINE BLVD STE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.31199693,-90.96497690
MS,AMITE (MS),GULF COAST EAST,TUSCALOOSA MARINE SHALE,,BUREAU OF LAND MANAGEMENT ET AL ,R&R ROYALTY,00299/0407,202000868,Memo of lease,2020-03-09,2020-03-31,2020-02-01,120,2030-02-01,0,,0.00000000,,,803.15997314,,16.00,4.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ," , ,    ","500 N SHORELINE BLVD STE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.31199693,-90.96497690
